Country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Australia,206.4,236.0,244.8,233.9,223.7,218.5,224.2,186.6,155.8,137.5,153.8
Austria,109.9,125.6,135.2,154.3,198.7,158.7,139.3,131.7,135.0,121.3,139.5
Belgium,133.6,116.1,105.5,106.3,128.8,106.1,109.2,119.7,129.5,101.6,122.4
Canada,248.7,257.8,259.0,260.3,271.8,296.7,286.4,321.0,341.2,184.6,405.8
Chile,50.7,65.2,84.4,83.5,101.9,135.5,207.2,339.4,254.1,154.6,96.7
Colombia,, , , , , ,104.5,217.9,225.8,74.8,40.7
Costa Rica,,,,15.7,6.6,8.6,9.2,7.8,,
Czech Republic,20.7,28.6,27.8,38.5,31.6,34.8,43.5,55.9,63.3,53.8,67.3
Denmark,34.6,35.5,41.3,49.0,58.7,54.6,49.0,45.3,42.3,37.8,47.3
Estonia,1.7,1.1,1.6,1.3,7.4,7.7,9.1,9.7,11.0,10.3,12.5
Finland,20.4,23.3,23.9,23.6,21.4,27.3,23.7,23.1,24.2,23.3,28.0
France,,,249.2,236.9,240.5,243.6,246.2,259.9,268.5,208.5,250.4
Germany,841.7,965.9,1108.1,1342.5,2016.2,1719.1,1384.0,1383.6,1345.9,994.8,1139.8
Greece,33.0,32.0,31.3,29.5,34.0,86.1,80.5,87.3,95.4,63.4,28.7
Hungary,22.5,20.3,21.3,26.0,25.8,23.8,36.5,49.3,55.3,43.8,49.1
Iceland,2.8,2.8,3.9,4.3,5.0,7.9,11.8,11.5,9.5,7.7,8.5
Ireland,33.7,37.2,41.0,43.7,49.3,53.9,57.2,61.9,61.7,56.5,35.0
Israel,16.9,16.6,16.9,24.1,27.9,26.0,26.4,28.1,33.2,19.7,25.5
Italy,354.3,321.3,279.0,248.4,250.0,262.9,301.1,285.5,264.6,191.8,243.6
Japan,266.9,303.9,306.7,336.5,391.2,427.6,475.0,519.7,592.0,220.6,80.0
Korea,307.2,300.2,360.5,407.1,372.9,402.2,452.7,495.1,438.2,233.1,220.6
Latvia,2.9,3.7,3.5,4.5,4.5,3.4,5.1,6.5,6.6,4.6,6.4
Lithuania,1.7,2.5,3.0,4.8,3.7,6.0,10.2,12.3,19.7,22.3,21.1
Luxembourg,19.1,19.4,19.8,21.0,22.6,21.6,23.2,23.4,25.2,21.0,23.8
Mexico,22.0,18.2,63.0,43.5,34.4,35.9,32.8,38.7,40.5,58.4,67.7
Netherlands,118.5,115.7,122.3,139.3,159.5,182.2,183.9,191.0,215.2,170.6,208.1
New Zealand,71.8,71.7,75.4,90.7,101.5,104.0,103.4,104.2,124.7,54.5,27.0
Norway,70.8,70.0,66.9,61.4,59.1,58.5,49.8,44.4,44.6,30.8,46.6
Poland,41.3,47.1,46.6,32.0,86.1,107.0,128.0,137.6,163.2,163.5,224.2
Portugal,45.4,38.5,33.2,35.3,37.9,46.9,61.4,93.2,129.2,118.1,111.3
Slovak Republic,3.8,2.9,2.5,2.4,3.8,3.6,2.9,2.9,2.5,2.8,2.0
Slovenia,10.8,12.3,11.6,11.3,12.7,13.8,15.5,24.1,27.6,24.8,19.7
Spain,335.9,272.5,248.4,264.5,290.0,352.2,454.0,560.0,666.0,415.2,456.6
Sweden,75.9,82.6,95.4,106.1,113.9,143.0,125.0,114.4,98.2,65.8,74.6
Switzerland,142.5,143.8,155.4,152.1,150.4,143.1,137.8,140.1,140.6,137.0,141.5
TÃ¼rkiye,,,,,273.9,364.6,466.9,578.5,242.5,615.1
United Kingdom,279.6,236.4,297.6,357.7,390.2,374.9,353.5,357.2,377.9,233.7,385.8
United States,1062.0,1031.6,990.6,1016.5,1051.0,1183.5,1127.2,1096.6,1031.8,707.4,740.0
